Stock,Price,Beta,Volume,Avg 3 Month Vol,Market Cap,P/E,EPS,MR This Week,MR Last Week,Change,Mean Target,Median Target,High Target,Low Target,Num Brokers
ENDP,65.17,1.54,"811,282","2,494,500",7.49B,N/A,-5.55,2.4,2.2,0.2,60.56,61.00,75.00,43.00,18
FARM,22.69,2.16,"27,436","37,194",358.55M,N/A,-0.61,2.0,2.0,0.0,25.00,25.00,25.00,25.00,1
FARO,56.42,1.97,"92,613","135,071",965.57M,45.91,1.23,3.0,3.0,0.0,46.33,49.00,50.00,40.00,3
TQQQ,118.57,N/A,"1,016,523","1,255,290",0,0,0,0,0,0
PSEM,8.89,0.92,"28,887","66,571",202.40M,N/A,-0.97,1.7,1.7,0.0,11.00,12.00,12.00,9.00,3
REGI,11.79,N/A,"513,836","795,540",429.76M,2.91,4.05,2.3,2.3,0.0,16.25,16.50,18.00,14.00,4
SIFI,11.83,0.18,"5,233","23,505",121.97M,N/A,-0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FCBC,16.65,1.17,"33,134","62,191",314.10M,13.42,1.24,3.0,3.0,0.0,17.00,17.00,18.00,16.00,2
GBLI,24.51,0.84,"19,992","17,044",617.48M,19.01,1.29,3.0,3.0,0.0,26.00,26.00,26.00,26.00,1
COHR,72.92,1.57,"94,600","97,613",1.81B,27.01,2.70,1.9,1.9,0.0,74.04,74.00,82.00,60.25,7
FSYS,13.72,1.81,"200,394","188,611",275.70M,N/A,-0.91,2.7,2.7,0.0,15.75,15.00,18.00,14.00,6
ABAX,40.03,0.79,"219,745","179,416",891.47M,47.65,0.84,2.6,2.6,0.0,39.25,37.00,50.00,34.00,7
COHU,10.23,1.07,"67,762","56,038",255.16M,N/A,-1.30,1.3,1.3,0.0,12.83,12.50,14.00,12.00,3
PTSX,0.51,2.36,"9,601","19,530",5.37M,N/A,-0.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OSUR,6.80,1.36,"1,400,054","634,705",378.09M,N/A,-0.42,1.7,1.7,0.0,8.13,8.25,10.00,6.00,8
PLBC,6.12,0.78,"9,335","2,379",29.27M,9.70,0.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ONB,15.20,1.4,"296,030","451,667",1.53B,15.51,0.98,3.0,3.0,0.0,15.56,15.50,17.00,15.00,8
IRIX,10.07,0.35,"38,914","109,568",98.73M,47.50,0.21,1.0,1.0,0.0,5.00,5.00,5.00,5.00,1
TKMR,7.80,N/A,"14,482","226,884",0,0,0,0,0,0,2.0,2.3,15.21,15.21,17.00,13.42,2
PGNX,5.55,1.6,"794,594","655,154",336.32M,N/A,-0.69,2.5,2.5,0.0,11.00,11.00,11.00,11.00,1
PTSI,20.75,0.27,"11,652","20,819",179.55M,42.43,0.49,2.0,2.0,0.0,20.00,20.00,20.00,20.00,1
MNDL,2.77,-0.31,"12,325","96,495",86.62M,N/A,-0.96,1.5,1.5,0.0,7.38,7.38,8.25,6.50,2
MNDO,2.03,1.69,"35,881","47,814",38.33M,15.03,0.14
