Stock,Price,Beta,Volume,Avg 3 Month Vol,Market Cap,P/E,EPS,MR This Week,MR Last Week,Change,Mean Target,Median Target,High Target,Low Target,Num Brokers
DSLV,47.72,23.01M,"165,367","119,419",0,0,0,0,0,0
SAIA,31.14,1.38,"205,110","277,165",754.27M,19.03,1.64,2.1,2.1,0.0,35.75,36.00,40.00,30.00,8
PRGN,7.35,3.58,"302,427","237,960",128.19M,N/A,-1.06,2.3,2.3,0.0,9.50,9.50,10.00,9.00,2
INTLL,25.50,N/A,860,"2,759",490.75M,19.27,1.32
LNBB,10.30,1.6,"6,046","16,373",95.82M,16.94,0.61,3.0,3.0,0.0,10.25,10.25,11.00,9.50,2
PRGS,25.79,2.03,"133,465","275,132",1.34B,15.63,1.65,2.8,2.8,0.0,26.67,26.00,29.00,25.00,3
PSCD,48.83,N/A,"33,087","14,927",0,0,0,0,0,0
PSCE,45.30,N/A,"3,219","21,000",0,0,0,0,0,0
PRGX,6.55,1.4,"882,378","152,824",191.36M,24.17,0.27,2.0,2.0,0.0,8.08,8.00,9.75,6.50,3
ABTL,14.49,1.99,"111,407","215,108",129.09M,57.27,0.25,1.8,1.8,0.0,14.25,14.00,18.50,10.50,4
BANFP,27.29,N/A,1,249,0,0,0,0,0,0
REI,12.10,0.39,"170,351","49,976",276.01M,N/A,-0.13,1.8,1.5,0.3,21.25,22.00,24.00,17.00,4
IDTI,9.98,2.15,"1,359,545","1,657,710",1.51B,22.38,0.45,1.9,1.9,0.0,11.17,12.00,13.00,7.00,9
RBCN,10.84,0.94,"400,542","439,676",245.61M,N/A,-0.72,2.7,2.7,0.0,10.22,9.50,17.00,5.00,11
REE,1.71,3.71,"786,151","539,070",81.44M,N/A,-0.61,2.5,2.5,0.0,4.82,4.82,5.65,4.00,2
FCS,13.42,2.13,"1,060,103","1,119,030",1.70B,N/A,-0.08,2.5,2.5,0.0,14.15,15.00,17.00,10.00,13
UBOH,14.36,0.05,"8,777","3,237",49.50M,10.48,1.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FRNK,19.15,0.35,"10,968","14,089",219.06M,24.55,0.78,3.0,3.0,0.0,21.00,21.00,21.00,21.00,1
CLAC,9.62,N/A,0,"5,062",0,0,0,0,0,0
SUBK,20.43,1.13,"41,187","32,238",236.44M,20.72,0.99,N/A,N/A,N/A,33.84,33.84,33.84,33.84,1
PRSS,6.15,N/A,"49,703","64,568",105.59M,N/A,-0.34,2.5,2.5,0.0,8.20,9.00,9.00,7.00,5
PWRD,17.41,2.41,"212,316","705,865",856.90M,12.80,1.36,2.0,2.0,0.0,22.51,24.00,28.00,11.00,11
FCO,10.40,N/A,"39,235","37,718",0,0,0,0,0,0
LTS,3.07,0.35,"205,268","391,368",553.21M,N/A,-0.05,1.0,1.0,0.0,3.00,3.00,3.00,3.00,1
LQDT,22.28,-1.47,"500,991","649,151",715.72M,17.68,1.26,2.4,2.4,0.0,27.50,27.50,33.00,22.00,8
INSM,17.03,0.09,"224,342","489,506",666.03M,N/A,-1.68,1.7,1.7,0.0,22.42,20.00,34.00,17.50,6
SMCI,16.71,1.76,"239,910","177,876",714.54M,26.31,0.64,2.0,2.0,0.0,17.25,17.25,18.50,16.00,2
FMI,22.87,N/A,"76,130","286,157",643.52M,N/A,-11.80,2.4,2.4,0.0,35.75,36.00,38.00,33.00,4
CLSN,3.95,2.1,"224,157","400,314",53.74M,N/A,-1.56,1.0,1.0,0.0,7.75,7.75,7.75,7.75,1
THLD,4.97,4.29,"617,029","446,738",294.34M,41.07,0.12,1.6,1.6,0.0,12.75,13.25,15.00,10.00,6
TSCO,76.48,0.86,"743,727","976,960",10.68B,34.91,2.19,2.0,2.0,0.0,76.59,78.00,85.00,62.00,22
TXMD,5.24,1.68,"224,160","424,886",759.63M,N/A,-0.22,1.3,1.3,0.0,7.08,7.25,8.00,6.00,3
WASH,36.51,1.07,"9,198","25,411",606.07M,17.14,2.13,2.3,2.3,0.0,36.00,35.00,39.00,34.00,3
THRD,28.08,0.17,388,"2,692",85.66M,12.30,2.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SP,25.93,N/A,"29,522","84,919",0,0,0,0,0,0,1.3,1.3,0.0,29.67,30.00,32.00,27.00,3
UNFI,74.95,0.53,"267,874","305,827",3.72B,32.45,2.31,2.3,2.3,0.0,73.14,75.00,83.00,53.00,14
PROV,15.02,0.05,"25,397","70,105",153.11M,8.71,1.72,3.0,3.0,0.0,15.33,16.00,18.00,12.00,3
BKYF,36.73,1.08,"25,412","27,325",276.54M,14.58,2.52,3.0,3.0,0.0,35.50,35.50,36.00,35.00,2
QABA,35.55,18.08M,"9,941","10,108",0,0,0,0,0,0
QNST,8.83,1.52,"48,666","110,217",383.17M,N/A,-1.59,3.4,3.4,0.0,8.00,8.00,10.00,6.00,4
OVLY,8.48,0.9,"2,900","3,843",66.16M,12.11,0.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGZD,49.93,N/A,0,"3,236",0,0,0,0,0,0
BYFC,0.99,2.14,"1,853","4,835",6.05M,N/A,-0.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IBO,1.00,N/A,0,N/A,0,0,0,0,0,0
CAR,40.53,2.68,"1,873,925","1,560,070",4.35B,N/A,-0.02,2.2,2.2,0.0,36.67,37.00,45.00,24.00,9
IBB,226.03,4.38B,"392,100","931,219",0,0,0,0,0,0
YRCW,19.18,3.49,"1,070,210","1,208,380",194.66M,N/A,-13.66,3.2,3.2,0.0,16.00,16.00,20.00,12.00,2
CAW,3.03,0.26,"1,209","15,422",21.23M,N/A,-0.33,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0
VCIT,82.92,3.66B,"212,424","303,176",0,0,0,0,0,0
STEM,1.29,2.36,"582,691","709,435",70.91M,N/A,-0.57,1.8,1.8,0.0,3.19,3.25,4.50,1.75,4
CAK,1.29,4.19,"787,337","355,576",202.58M,N/A,-0.09,3.0,3.0,0.0,4.00,4.00,4.00,4.00,1
PRSC,25.39,1.24,"70,683","75,424",342.87M,18.20,1.40,2.3,2.3,0.0,31.00,30.50,35.00,28.00,4
PBPB,24.45,N/A,"223,400","585,653",712.40M,N/A,-1.22,2.8,2.8,0.0,33.25,33.50,34.00,32.00,4
RFMD,4.85,1.02,"5,907,684","4,866,940",1.37B,N/A,-0.04,1.9,1.9,0.0,6.75,7.00,8.00,5.00,11
CAC,41.25,0.91,"16,401","19,451",315.40M,14.04,2.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BNCL,10.82,0.5,"30,795","99,160",820.91M,61.48,0.18,2.8,2.8,0.0,10.33,10.50,11.50,9.00,3
HMPR,1.73,2.36,"43,656","81,171",294.56M,N/A,-0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NASB,29.64,1,"2,797","5,287",233.18M,8.44,3.51,N/A,N/A,N/A,41.74,41.74,41.74,41.74,1
PGC,19.21,0.9,"4,706","18,497",172.41M,21.78,0.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INCY,51.99,0.48,"960,100","1,608,960",8.38B,N/A,-0.15,1.9,1.9,0.0,45.46,48.00,60.00,14.00,13
ASIA,11.95,3.06,"983,273","463,621",872.67M,N/A,-3.35,3.0,2.0,1.0,12.00,12.00,12.00,12.00,1
CHOP,1.31,1.01,"137,451","106,751",77.97M,N/A,-0.10,2.0,2.0,0.0,4.00,4.00,4.00,4.00,1
BKEP,8.70,0.74,"10,913","32,154",198.16M,29.10,0.30,3.3,3.3,0.0,8.00,8.00,8.00,8.00,1
KTEC,14.26,1.61,"2,963","2,857",89.57M,20.76,0.69,2.3,2.3,0.0,16.00,16.00,16.00,16.00,1
HIHO,2.97,1.76,"16,167","69,997",11.22M,18.92,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PME,3.49,0.99,"185,720","87,295",275.51M,N/A,N/A
VTIP,49.29,7.39B,"46,103","121,998",0,0,0,0,0,0
FLEX,7.71,0.91,"7,900,335","4,848,120",4.69B,28.98,0.27,2.7,2.7,0.0,9.39,9.45,10.50,8.00,10
AKRX,24.59,0.02,"363,802","761,179",2.37B,61.47,0.40,1.6,1.6,0.0,26.83,26.00,30.00,25.00,6
CACQ,11.80,N/A,"182,866","645,168",1.60B,12.51,0.94,2.5,2.5,0.0,12.50,12.50,13.00,12.00,2
UNTY,7.68,0.13,"1,707","5,043",57.97M,16.70,0.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DYSL,1.13,0.83,"39,112","30,019",17.42M,N/A,-0.59,1.0,1.0,0.0,8.00,8.00,8.00,8.00,1
MMSI,14.99,0.92,"178,354","202,513",640.76M,62.20,0.24,1.8,1.8,0.0,18.33,18.50,19.00,17.00,6
RAIL,26.29,2.15,"57,831","87,641",316.74M,N/A,-0.67,2.4,2.4,0.0,26.33,28.00,35.00,15.00,6
CWBC,6.80,1.73,"4,516","5,502",53.49M,7.64,0.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CACG,9.75,N/A,0,541,33.18M,52.70,0.19
GRID,35.79,12.58M,"3,444","2,783",0,0,0,0,0,0
IFNA,46.88,28.08M,215,"4,525",0,0,0,0,0,0
CACC,131.46,1.19,"19,619","22,498",3.11B,12.97,10.14,2.5,2.5,0.0,126.00,125.00,130.00,125.00,5
CACB,5.23,1.16,"18,996","23,122",247.02M,4.84,1.08,3.0,3.0,0.0,5.75,5.75,6.00,5.50,2
CHYR,2.49,1.06,"115,186","39,354",76.59M,N/A,-1.10,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
UNTK,1.69,1.37,"10,540","67,710",32.06M,N/A,-2.60,3.5,3.5,0.0,1.75,1.75,2.50,1.00,2
SIMO,14.15,2.31,"212,060","268,719",465.24M,16.06,0.88,2.2,2.2,0.0,17.17,16.00,21.00,15.00,6
CACH,5.53,0.56,"43,531","83,783",116.63M,N/A,-2.09,2.0,2.0,0.0,6.00,6.00,6.00,6.00,1
GLAD,9.61,1.65,"92,885","126,122",201.81M,6.26,1.53,3.5,3.5,0.0,9.00,9.00,9.00,9.00,2
TWMC,4.21,-0.45,"57,586","29,895",135.84M,4.47,0.94,3.0,3.0,0.0,2.75,2.75,2.75,2.75,1
ALKS,40.07,1.73,"707,778","891,003",5.48B,292.48,0.14,2.6,2.6,0.0,36.75,37.00,48.00,25.00,12
MSLI,1.40,0.95,"7,055","20,970",53.75M,N/A,-0.10,1.3,1.3,0.0,2.93,3.10,3.25,2.25,4
DRTX,12.81,N/A,"140,587","146,305",341.14M,N/A,-2.70,2.0,2.0,0.0,14.29,14.00,19.00,10.00,7
BLKB,37.88,1.41,"139,928","195,984",1.69B,77.31,0.49,2.0,2.0,0.0,41.75,41.50,51.00,33.00,4
CDZI,6.96,1.71,"14,831","36,935",112.42M,N/A,-1.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POZN,8.14,1.55,"430,725","471,003",248.33M,N/A,-0.68,2.3,1.7,0.6,9.50,9.50,10.00,9.00,2
HBANP,"1,260.00",N/A,65,414,1.05T,"1,726.03",0.73
UTSI,2.74,1.98,"17,218","96,110",106.74M,N/A,-0.35,1.0,1.0,0.0,3.00,3.00,3.00,3.00,1
TCBIL,22.00,N/A,"2,480","5,956",901.60M,7.83,2.81
UUUU,6.15,2.62,"103,496","357,335",120.55M,N/A,-5.76
TCPC,16.87,N/A,"213,990","313,013",0,0,0,0,0,0,1.9,1.9,0.0,17.67,17.75,18.00,17.00,6
NUVA,32.49,1.35,"579,808","426,192",1.45B,N/A,-0.02,2.4,2.4,0.0,33.31,34.00,42.00,25.00,16
COWN,3.87,1.29,"278,000","616,603",452.52M,N/A,-0.06,2.0,2.0,0.0,4.60,4.60,4.60,4.60,1
SPPRP,6.93,N/A,0,"3,775",0,0,0,0,0,0
WSTL,3.85,0.76,"249,996","235,810",226.16M,N/A,-0.71,1.5,1.5,0.0,5.25,5.25,5.25,5.25,1
FSFG,22.85,0.17,1,"2,176",50.57M,11.48,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HDNG,14.38,1.48,"16,895","33,959",170.91M,14.76,0.97,3.0,3.0,0.0,20.00,20.00,20.00,20.00,1
RCII,33.39,0.73,"250,311","596,498",1.79B,11.53,2.90,2.8,2.8,0.0,38.50,39.00,40.00,36.00,4
CSFL,10.05,1.12,"45,629","52,964",302.63M,23.87,0.42,2.8,2.8,0.0,11.45,11.00,14.00,10.00,5
REED,8.10,0.33,"222,256","62,927",103.75M,N/A,-0.14,1.7,1.7,0.0,9.50,9.50,9.50,9.50,1
GPIC,8.04,0.69,"53,964","11,618",63.64M,27.92,0.29,1.0,1.0,0.0,8.00,8.00,8.00,8.00,1
FSFR,13.22,N/A,"11,209","37,262",0,0,0,0,0,0,2.0,2.0,0.0,13.54,15.00,16.50,6.70,5
LINE,31.03,0.81,"1,357,880","2,185,350",7.30B,N/A,-0.43,2.4,2.4,0.0,33.75,34.50,40.00,25.00,12
FXEN,3.75,3.61,"965,230","396,113",200.28M,N/A,-0.31,1.8,1.8,0.0,6.65,7.05,7.50,5.00,4
LINC,5.08,2.45,"121,392","150,332",122.33M,N/A,-1.39,3.0,3.0,0.0,5.33,4.50,7.50,4.00,3
BRLI,24.76,1.29,"269,605","393,644",685.26M,15.01,1.65,2.6,2.6,0.0,30.00,33.00,36.00,18.00,4
MIW,11.53,N/A,"3,958","4,152",0,0,0,0,0,0,1.0,1.0,0.0,N/A,N/A,N/A,N/A,N/A
CMGE,24.71,N/A,"160,683","111,602",662.18M,N/A,-0.51,1.0,1.0,0.0,28.00,28.00,28.00,28.00,1
VIDI,24.30,371.75M,"62,861","519,331",0,0,0,0,0,0
XRAY,48.19,1.39,"623,289","833,627",6.87B,19.06,2.53,2.3,2.3,0.0,49.05,49.50,57.00,39.50,10
AOSL,7.70,1.27,"55,562","49,487",197.94M,N/A,-0.52
CTBI,44.18,1.12,"41,283","38,260",688.90M,14.67,3.01,3.0,3.0,0.0,43.50,43.50,44.00,43.00,2
SPPRO,16.07,N/A,700,"3,519",0,0,0,0,0,0
OREX,5.75,1.83,"1,780,771","2,085,710",582.89M,N/A,-0.98,1.9,1.9,0.0,11.38,12.00,16.00,7.00,8
MCOX,3.42,2.89,"10,451","67,922",41.70M,N/A,-2.00,N/A,N/A,N/A,5.00,5.00,5.00,5.00,1
MEOH,57.72,2.24,"554,844","765,875",5.52B,90.33,0.64,2.3,2.3,0.0,64.25,67.75,72.00,40.00,10
PCRX,56.32,1.47,"217,242","468,375",1.89B,N/A,-2.08,1.6,1.6,0.0,56.00,59.00,60.00,42.00,5
SOXX,71.50,N/A,"142,561","119,976",0,0,0,0,0,0
URG,1.41,2.93,"784,882","591,140",172.68M,N/A,-0.12,1.5,1.5,0.0,1.76,1.75,2.13,1.40,6
URBN,37.99,1.46,"1,692,283","1,904,130",5.60B,20.46,1.86,2.0,2.1,46.14,47.00,58.00,35.00,29
AEPI,54.70,1.44,"95,003","109,033",306.37M,19.88,2.75,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
MAYS,31.06,1.45,200,292,62.59M,104.58,0.30
KPTI,22.73,N/A,"36,337","343,272",676.19M,N/A,-4.11,1.3,1.3,0.0,26.25,26.00,28.00,25.00,4
URZ,1.30,4.59,"233,851","312,916",111.56M,N/A,-0.33,1.7,1.7,0.0,1.85,1.75,2.50,1.37,6
MHLDO,45.27,N/A,612,"37,119",0,0,0,0,0,0
EGHT,10.09,0.25,"478,649","1,000,690",738.22M,91.73,0.11,1.8,1.8,0.0,11.86,12.50,13.00,8.00,9
ACTS,2.93,0.46,"19,342","54,184",202.09M,N/A,-0.01,4.0,4.0,0.0,1.15,1.15,1.15,1.15,1
QUMU,13.02,0.6,"13,953","34,492",113.03M,N/A,-0.92,2.0,2.0,0.0,17.00,17.00,17.00,17.00,1
NYMTP,20.79,N/A,"63,610","21,902",1.33B,21.68,0.96
HTBX,7.35,N/A,"9,051","26,657",46.78M,N/A,-2.98,2.0,2.0,0.0,27.00,27.00,36.00,18.00,2
ESGR,138.05,0.43,"21,196","17,932",2.30B,16.29,8.47,1.0,1.0,0.0,175.00,175.00,175.00,175.00,1
PRXL,45.40,1.38,"335,385","694,010",2.57B,25.00,1.82,2.3,2.3,0.0,51.27,51.00,64.00,36.00,13
NLST,0.80,1.7,"297,504","170,056",25.22M,N/A,-0.44,2.0,2.0,0.0,2.25,2.25,2.25,2.25,1
PRXI,1.18,0.04,"29,529","184,730",58.22M,N/A,-0.02,N/A,N/A,N/A,1.80,1.80,1.80,1.80,1
WSFSL,26.04,N/A,25,643,230.45M,5.78,4.50
SAVE,47.58,1.6,"937,640","821,767",3.46B,22.65,2.10,1.7,1.7,0.0,51.50,52.00,56.00,48.00,12
HTBK,8.38,1.55,"21,994","24,587",220.77M,24.65,0.34,2.6,2.6,0.0,8.70,8.50,10.00,8.00,5
ACTG,14.48,0.98,"361,580","849,492",722.93M,N/A,-0.25,2.5,2.5,0.0,21.70,22.50,30.00,13.00,5
NGD,5.26,0.83,"2,885,265","3,527,180",2.65B,13.73,0.38,2.1,2.1,0.0,9.32,9.00,13.58,7.75,10
BAMM,2.30,1.08,"16,411","23,535",33.71M,N/A,-0.79,N/A,N/A,N/A,12.00,12.00,12.00,12.00,1
TECUA,8.99,0.47,"77,033","63,127",166.13M,N/A,-1.67,N/A,N/A,N/A,15.00,15.00,15.00,15.00,1
HDS,23.44,N/A,"927,719","1,236,990",4.50B,N/A,-5.71,1.9,1.9,0.0,25.08,25.50,28.00,20.00,12
CKEC,27.62,0.2,"193,100","175,332",636.42M,5.45,5.06,1.9,1.9,0.0,30.43,30.00,34.00,26.00,7
EROC,6.16,0.9,"714,476","1,176,640",961.45M,N/A,-1.11,2.5,2.5,0.0,7.17,7.00,7.50,7.00,3
ISNS,5.00,0.92,"2,181","8,452",24.86M,N/A,-1.05,2.0,2.0,0.0,9.00,9.00,9.00,9.00,1
NGX,11.85,N/A,"1,112","14,964",0,0,0,0,0,0
PAYX,45.22,0.93,"1,808,913","2,328,970",16.47B,28.09,1.61,3.2,3.2,0.0,41.68,41.00,48.00,34.00,17
UTG,24.85,N/A,"76,516","66,048",0,0,0,0,0,0
CYCCP,9.22,N/A,0,219,172.33M,N/A,-1.66
DXYN,13.18,1.46,"35,415","70,198",168.18M,53.58,0.25,1.0,1.0,0.0,15.00,15.00,15.00,15.00,1
ECYT,11.47,1.33,"343,316","379,621",414.56M,N/A,-0.44,1.8,1.8,0.0,20.89,21.00,24.00,17.00,9
LAYN,16.85,0.61,"259,404","258,760",330.63M,N/A,-7.11,3.0,3.0,0.0,17.67,17.00,20.00,16.00,3
MGAM,31.25,2.13,"300,595","413,006",924.72M,27.41,1.14,1.7,1.7,0.0,38.00,38.00,42.00,34.00,5
JCS,10.78,1.54,"28,504","12,640",92.18M,N/A,-0.01,N/A,N/A,N/A,20.71,20.71,20.71,20.71,1
ADAT,1.35,0.32,"28,931","229,821",47.82M,N/A,-0.42,3.0,3.0,0.0,2.00,2.00,2.00,2.00,1
ONVI,4.83,0.44,263,"5,232",35.40M,38.03,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PPHM,1.45,0.98,"1,723,261","1,215,580",232.47M,N/A,-0.20,2.0,2.0,0.0,3.33,2.50,5.00,2.50,3
XNCR,9.15,N/A,"126,104","108,484",269.21M,N/A,-0.38
DENN,7.22,0.8,"338,213","414,617",644.29M,24.90,0.29,2.1,2.1,0.0,7.21,7.25,8.00,6.00,7
LNCE,28.44,0.27,"116,589","129,071",1.99B,31.22,0.91,2.7,2.7,0.0,29.14,29.00,34.00,23.00,7
IIIN,21.83,1.48,"120,325","64,930",396.96M,34.11,0.64,2.0,2.0,0.0,24.00,24.00,24.00,24.00,1
LNCO,30.72,N/A,"2,355,390","1,059,410",1.07B,23.24,1.32,2.5,2.5,0.0,36.03,36.00,40.00,33.00,9
DTLK,10.98,1.84,"39,467","159,014",248.93M,25.18,0.44,2.2,2.2,0.0,14.20,14.00,16.00,13.00,5
PMCS,6.31,1.12,"1,180,127","1,650,080",1.29B,N/A,-0.02,3.2,3.1,0.1,6.11,6.00,7.00,4.50,7
EA,22.68,0.74,"3,112,581","5,316,630",7.01B,30.86,0.74,2.5,2.5,0.0,27.63,28.00,33.00,18.00,23
TSBK,9.73,1.03,"3,971","7,787",66.66M,15.95,0.61,2.0,2.0,0.0,10.50,10.50,10.50,10.50,1
UTHR,111.31,1.78,"569,099","653,221",5.59B,20.23,5.50,2.5,2.5,0.0,98.87,94.00,150.00,56.00,15
WAVX,0.92,1.81,"136,734","153,527",30.58M,N/A,-1.06,3.0,3.0,0.0,1.76,1.76,1.76,1.76,1
ONCY,1.62,1.32,"345,027","554,071",137.31M,N/A,-0.33,1.8,1.8,0.0,6.87,6.44,12.00,3.50,10
ACFC,4.40,1.33,"50,229","63,286",11.20M,N/A,-1.93,1.0,1.0,0.0,5.00,5.00,5.00,5.00,1
ACFN,4.50,0.53,"361,440","369,379",99.66M,N/A,-1.65,2.3,2.3,0.0,7.00,7.00,8.00,6.00,2
TOFC,24.66,0.85,"27,816","5,186",115.29M,15.82,1.56,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
GORO,4.83,1.49,"435,889","542,865",259.75M,19.17,0.25,2.0,2.0,0.0,12.00,12.00,12.00,12.00,1
IQNT,11.46,2.21,"398,069","582,536",368.89M,N/A,-1.26,3.0,3.0,0.0,10.25,10.25,10.25,10.25,1
USTR,45.88,1.34,"201,394","227,256",1.83B,15.13,3.03,2.3,2.3,0.0,48.20,42.00,64.00,38.00,5
RIBTW,1.59,N/A,"12,200",N/A,0,0,0,0,0,0
MGI,20.16,1.42,"46,425","90,068",1.17B,29.65,0.68,2.2,2.2,0.0,23.67,24.00,27.00,20.00,9
MGH,0.19,4.02,"138,826","53,092",9.31M,N/A,-0.08
BBGI,9.02,0.45,"15,315","9,330",207.01M,18.04,0.50,3.0,3.0,0.0,1.50,1.50,1.50,1.50,1
MGN,0.66,2.49,"34,339","28,857",19.14M,N/A,-0.26,2.0,2.0,0.0,4.00,4.00,4.00,4.00,1
AMIC,11.90,0.92,"10,499","9,568",96.06M,9.61,1.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DBLEP,23.20,N/A,"8,361","8,486",263.34M,N/A,-1.20
TXRH,27.77,0.64,"519,831","537,635",1.96B,25.48,1.09,2.5,2.5,0.0,30.13,30.00,35.00,25.00,16
MGT,2.67,-0.1,"56,078","82,446",20.31M,N/A,-2.66,N/A,N/A,N/A,2.00,2.00,2.00,2.00,1
CNBC,18.49,0.51,"38,299","45,313",302.66M,15.68,1.18,2.5,2.5,0.0,20.00,20.00,20.00,20.00,1
SVT,8.25,0.66,"3,077","4,549",18.92M,16.24,0.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MLAB,77.64,0.65,"33,262","15,029",265.99M,35.57,2.18,1.0,1.0,0.0,59.00,59.00,59.00,59.00,1
IPHS,47.71,0.83,"150,259","123,154",1.05B,22.11,2.16,2.2,2.2,0.0,56.33,56.50,61.00,51.00,6
STXS,3.81,4.34,"352,112","1,420,830",60.54M,N/A,-7.52,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
CLRX,3.85,0.95,"9,800","53,683",7.55M,N/A,-1.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPHS,3.67,0.91,"70,313","34,440",59.27M,N/A,-2.32,1.8,1.8,0.0,9.16,10.00,11.30,4.50,5
FOLD,2.45,2.12,"223,490","294,581",121.60M,N/A,-1.16,2.4,2.4,0.0,2.50,2.50,2.50,2.50,2
ASPS,162.99,0.74,"78,133","102,014",3.73B,32.80,4.97,2.0,2.0,0.0,158.00,158.00,158.00,158.00,1
OTEX,92.71,1.6,"305,682","301,625",5.42B,34.36,2.70,2.2,2.2,0.0,93.00,95.00,105.00,75.00,16
FSCFL,21.41,N/A,"7,278","8,448",2.98B,23.87,0.90
CLRO,9.18,1.01,"43,514","19,864",82.46M,3.10,2.97,1.5,1.5,0.0,11.00,11.00,11.00,11.00,1
ADSK,48.90,2.06,"1,934,150","2,732,400",11.03B,44.82,1.09,2.5,2.5,0.0,47.29,47.00,56.00,36.00,17
AFCB,20.20,0.3,0,"4,063",42.08M,18.91,1.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AFCE,37.63,0.59,"244,034","202,630",896.69M,25.62,1.47,1.6,1.6,0.0,48.20,51.00,52.00,40.00,5
APPY,2.28,0.45,"726,048","422,392",48.92M,N/A,-0.84,1.7,1.7,0.0,4.83,4.00,7.00,3.50,3
IKGH,3.15,1.79,"95,453","126,629",189.12M,7.00,0.45
LBIX,3.99,0.08,300,"6,402",11.71M,18.21,0.22,2.0,2.0,0.0,4.40,4.40,4.40,4.40,1
DLLR,11.59,0.84,"411,052","567,783",449.98M,N/A,-0.24,2.2,2.2,0.0,14.83,15.50,18.00,11.00,6
GEVA,66.13,0.76,"165,807","169,030",2.03B,N/A,-3.02,2.4,2.4,0.0,65.38,68.00,72.00,52.00,8
GEVO,1.38,3.4,"1,106,907","1,281,810",63.69M,N/A,-1.48,1.8,1.8,0.0,4.37,5.00,6.00,1.35,5
IRG,13.03,N/A,"12,938","84,225",334.22M,N/A,-0.39,2.8,2.8,0.0,16.00,16.00,17.00,15.00,2
AIMC,33.39,2.02,"167,917","139,816",900.46M,32.35,1.03,2.0,2.0,0.0,34.80,36.00,39.00,27.00,5
AVNW,2.31,1.16,"254,476","293,129",144.13M,N/A,-0.44,3.0,3.0,0.0,3.00,3.00,3.00,3.00,1
SLXP,91.20,1.12,"926,851","839,575",5.74B,54.19,1.68,2.0,1.9,0.1,88.53,90.00,108.00,48.00,17
OXFD,19.50,N/A,"41,439","154,954",320.44M,N/A,N/A,1.8,1.8,0.0,22.25,22.00,25.00,20.00,4
GTE,7.23,1.86,"701,792","1,132,120",2.05B,11.30,0.64,2.1,2.1,0.0,9.16,9.00,11.30,7.00,15
VTG,1.86,1.25,"519,122","1,072,190",564.78M,N/A,-0.82,2.3,2.3,0.0,2.47,2.30,4.00,1.85,9
TSPT,3.39,0.44,"40,547","103,919",63.87M,N/A,-1.52,2.8,2.8,0.0,3.80,4.00,4.20,3.00,4
TFCO,6.06,0.17,"25,656","5,051",26.11M,N/A,-0.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATML,7.93,2.48,"6,612,786","5,608,880",3.38B,N/A,-0.10,2.0,2.0,0.0,8.70,9.00,10.00,7.00,17
BFIN,9.56,1.25,"16,029","20,916",191.66M,N/A,-1.16,3.0,3.0,0.0,10.00,10.00,10.00,10.00,1
GTT,7.20,1.06,"16,831","24,056",167.68M,N/A,-0.83,2.0,2.0,0.0,9.00,9.00,10.00,8.00,2
ATMI,30.42,1.3,"155,474","177,479",968.60M,25.56,1.19,2.3,2.3,0.0,29.13,29.25,36.00,22.00,4
MEILZ,0.38,N/A,"7,575",N/A,0,0,0,0,0,0
BIOL,2.67,2.63,"702,987","457,240",93.05M,N/A,-0.26,1.8,1.8,0.0,4.05,3.47,5.94,2.74,3
ITIC,81.18,0.69,"9,762","7,438",167.72M,10.56,7.69,3.0,3.0,0.0,39.00,39.00,39.00,39.00,1
NOVB,18.89,0.71,"6,905","14,264",129.11M,39.35,0.48,2.0,2.0,0.0,20.50,20.50,21.00,20.00,2
ARNA,5.89,-2.41,"2,571,124","4,977,790",1.29B,N/A,-0.08,2.7,2.7,0.0,7.94,8.00,12.00,4.00,9
HNRG,8.28,0.73,"36,091","72,613",236.96M,10.10,0.82,1.3,1.3,0.0,10.00,10.00,11.00,9.00,3
